TeamID,TeamAbbv,Date1,Description1,Date2,Description2
1610612737,ATL,,,,
1610612738,BOS,1/10/2019,Kyrie upset at teammates,,
1610612751,BKN,11/12/2018,Caris LeVert injury,,
1610612766,CHA,,,,
1610612741,CHI,12/1/2018,Hoiberg fired,,
1610612739,CLE,,,,
1610612742,DAL,,,,
1610612743,DEN,,,,
1610612765,DET,,,,
1610612744,GSW,11/13/2018,Draymond/Durant beef,,
1610612745,HOU,11/15/2018,Carmelo dismissed,1/27/2019,Chris Paul return from injury
1610612754,IND,1/23/2019,Oladipo injury,,
1610612746,LAC,,,,
1610612747,LAL,12/25/2018,LeBron injury,1/29/2019,Anthony Davis trade request
1610612763,MEM,2/7/2019,Marc Gasol trade,,
1610612748,MIA,,,,
1610612749,MIL,,,,
1610612750,MIN,11/12/2018,Jimmy Butler trade,1/6/2019,Thibs fired
1610612740,NOP,1/29/2019,Anthony Davis trade request,,
1610612752,NYK,,,,
1610612760,OKC,,,,
1610612753,ORL,,,,
1610612755,PHI,,,,
1610612756,PHX,,,,
1610612757,POR,,,,
1610612758,SAC,,,,
1610612759,SAS,,,,
1610612761,TOR,,,,
1610612762,UTA,,,,
1610612764,WAS,11/18/2018,Dwight Howard last game,12/26/2018,John Wall injury
